# Your corrections. One per line:  Telugu<TAB>English   (a TAB, 2+ spaces, or = all work)
# Use "-" to say "this is NOT English, just spell it out" (useful for names).
# Endings are handled automatically: బస్సు=bus also makes బస్సులో -> "bus lo".
బస్సు	bus
క్లాసు	class
ఫీజు	fees
కంట్రోల్	control
గవర్నమెంట్	government
సిస్టమ్	system
రిపోర్ట్	report
సెల్	cell
సార్	sir
మేడమ్	madam
శివ్	-
